i,archivo,busqueda,categoria_web,ciudad,clase,cp,direccion,latitud,longitud,nombre,subclase
11206,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloshogar.csv,SALAMANCA,muebles: establecimientos, ,44229,,,0,0,polque,articuloshogar
11214,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloshogar.csv,SALAMANCA,floristerias, ,44229,,,0,0,solo rosas,articuloshogar
11302,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44522.csv,SALAMANCA,pescaderias,salamanca,44522,37008,"pl. mtro. tomas luis victoria, 4",0,0,gento,
11303,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44522.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44522,,,0,0,hipercor,
11330,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44619_homeopatia.csv,SALAMANCA,farmacias,salamanca,44619,,,0,0,farmacia la vega,homeopatia
11374,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,supermercados e hipermercados,salamanca,44511,37008,"joaquin rodrigo, s",0,0,distribuidora internacional de alimentacion s.a.,tiendasdecomestibles
11389,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44511,,,0,0,el corte ingles,tiendasdecomestibles
11415,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44511,,,0,0,hipercor,tiendasdecomestibles
11432,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,panaderias,salamanca,44511,37005,"mercado san juan, s",0,0,juan manuel lucas rebollero,tiendasdecomestibles
11445,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,panaderias,salamanca,44511,37008,"serna, s",0,0,la tahona delicatessen,tiendasdecomestibles
11459,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511_tiendasdecomestibles.csv,SALAMANCA,panaderias,salamanca,44511,37006,"parq. valhondo, 24",0,0,martin atilano hernandez gonzalez,tiendasdecomestibles
